Họ và tên,Email,Mã số định danh (MSSV),Số điện thoại,Vai trò,Mã lớp học phần
Nguyễn Xuân Hữu,n23dccn160@student.ptithcm.edu.vn,N23DCCN160,0912345001,STUDENT,
Trần Thị Bình,n22dccn002@student.ptithcm.edu.vnd,N22DCCN002,0912345002,STUDENT,
Phạm Hoàng Cường,n22dccn003@student.ptithcm.edu.vnd,N22DCCN003,0912345003,STUDENT,
Lê Minh Đạt,n22dccn004@student.ptithcm.edu.vnd,N22DCCN004,0912345004,STUDENT,
Vũ Thị Hồng,n22dccn005@student.ptithcm.edu.vnd,N22DCCN005,0912345005,STUDENT,
Đỗ Quốc Khánh,n22dccn006@student.ptithcm.edu.vnd,N22DCCN006,0912345006,STUDENT,
Hoàng Thị Lan,n22dccn007@student.ptithcm.edu.vnd,N22DCCN007,0912345007,STUDENT,
Bùi Văn Mạnh,n22dccn008@student.ptithcm.edu.vnd,N22DCCN008,0912345008,STUDENT,
Ngô Thị Ngọc,n22dccn009@student.ptithcm.edu.vnd,N22DCCN009,0912345009,STUDENT,
Đặng Hữu Phúc,n22dccn010@student.ptithcm.edu.vnd,N22DCCN010,0912345010,STUDENT,
Phan Thị Quỳnh,n22dccn011@student.ptithcm.edu.vnd,N22DCCN011,0912345011,STUDENT,
Lý Bá Sơn,n22dccn012@student.ptithcm.edu.vnd,N22DCCN012,0912345012,STUDENT,
Trương Thị Trang,n22dccn013@student.ptithcm.edu.vnd,N22DCCN013,0912345013,STUDENT,
Mai Văn Uy,n22dccn014@student.ptithcm.edu.vnd,N22DCCN014,0912345014,STUDENT,
Tô Thị Vân,n22dccn015@student.ptithcm.edu.vnd,N22DCCN015,0912345015,STUDENT,
Dương Minh Xuân,n22dccn016@student.ptithcm.edu.vnd,N22DCCN016,0912345016,STUDENT,
Lưu Hoàng Yến,n22dccn017@student.ptithcm.edu.vnd,N22DCCN017,0912345017,STUDENT,
Đinh Quang Anh,n22dccn018@student.ptithcm.edu.vnd,N22DCCN018,0912345018,STUDENT,
Tạ Thị Bảo,n22dccn019@student.ptithcm.edu.vnd,N22DCCN019,0912345019,STUDENT,
Cao Đức Chiến,n22dccn020@student.ptithcm.edu.vnd,N22DCCN020,0912345020,STUDENT,
Hồ Thị Diệu,n22dccn021@student.ptithcm.edu.vnd,N22DCCN021,0912345021,STUDENT,
Lâm Văn Em,n22dccn022@student.ptithcm.edu.vnd,N22DCCN022,0912345022,STUDENT,
Tống Thị Giang,n22dccn023@student.ptithcm.edu.vnd,N22DCCN023,0912345023,STUDENT,
Châu Minh Hải,n22dccn024@student.ptithcm.edu.vnd,N22DCCN024,0912345024,STUDENT,
Đào Thị Ích,n22dccn025@student.ptithcm.edu.vnd,N22DCCN025,0912345025,STUDENT,
Lương Bá Kiệt,n22dccn026@student.ptithcm.edu.vnd,N22DCCN026,0912345026,STUDENT,
Tăng Thị Loan,n22dccn027@student.ptithcm.edu.vnd,N22DCCN027,0912345027,STUDENT,
Phùng Văn Minh,n22dccn028@student.ptithcm.edu.vnd,N22DCCN028,0912345028,STUDENT,
Trịnh Thị Nhung,n22dccn029@student.ptithcm.edu.vnd,N22DCCN029,0912345029,STUDENT,
Quách Hữu Oanh,n22dccn030@student.ptithcm.edu.vnd,N22DCCN030,0912345030,STUDENT,
Vương Thị Phượng,n22dccn031@student.ptithcm.edu.vnd,N22DCCN031,0912345031,STUDENT,
Hà Quốc Quân,n22dccn032@student.ptithcm.edu.vnd,N22DCCN032,0912345032,STUDENT,
Lại Thị Rạng,n22dccn033@student.ptithcm.edu.vnd,N22DCCN033,0912345033,STUDENT,
Kiều Văn Sỹ,n22dccn034@student.ptithcm.edu.vnd,N22DCCN034,0912345034,STUDENT,
Nông Thị Thảo,n22dccn035@student.ptithcm.edu.vnd,N22DCCN035,0912345035,STUDENT,
Triệu Minh Tuấn,n22dccn036@student.ptithcm.edu.vnd,N22DCCN036,0912345036,STUDENT,
Phí Thị Ưng,n22dccn037@student.ptithcm.edu.vnd,N22DCCN037,0912345037,STUDENT,
Bạch Văn Việt,n22dccn038@student.ptithcm.edu.vnd,N22DCCN038,0912345038,STUDENT,
Lữ Thị Xinh,n22dccn039@student.ptithcm.edu.vnd,N22DCCN039,0912345039,STUDENT,
Thái Hoàng Ý,n22dccn040@student.ptithcm.edu.vnd,N22DCCN040,0912345040,STUDENT,
Văn Quang Ất,n22dccn041@student.ptithcm.edu.vnd,N22DCCN041,0912345041,STUDENT,
Sầm Thị Bưởi,n22dccn042@student.ptithcm.edu.vnd,N22DCCN042,0912345042,STUDENT,
Đoàn Văn Cảnh,n22dccn043@student.ptithcm.edu.vnd,N22DCCN043,0912345043,STUDENT,
Hứa Thị Duyên,n22dccn044@student.ptithcm.edu.vnd,N22DCCN044,0912345044,STUDENT,
Tôn Bá Đông,n22dccn045@student.ptithcm.edu.vnd,N22DCCN045,0912345045,STUDENT,
Khúc Thị Ếm,n22dccn046@student.ptithcm.edu.vnd,N22DCCN046,0912345046,STUDENT,
Ưng Văn Phong,n22dccn047@student.ptithcm.edu.vnd,N22DCCN047,0912345047,STUDENT,
Giáp Thị Hằng,n22dccn048@student.ptithcm.edu.vnd,N22DCCN048,0912345048,STUDENT,
Nhâm Văn Long,n22dccn049@student.ptithcm.edu.vnd,N22DCCN049,0912345049,STUDENT,
Ông Thị Mai,n22dccn050@student.ptithcm.edu.vnd,N22DCCN050,0912345050,STUDENT,
